"id_film";"url";"titre";"date_sortie";"duree";"genre";"nationalite";"type_film";"reprise";"couleur";"recompenses";"note_presse";"note_spectateurs"
"197185";"http://www.allocine.fr/film/fichefilm_gen_cfilm=197185.html";"Tue-moi";"2012-04-25";"91";"Drame";"français";"Long-métrage";FALSE;"Couleur";"2 nominations";"2,9";"2,9"
"195414";"http://www.allocine.fr/film/fichefilm_gen_cfilm=195414.html";"Impunité";"2012-04-25";"85";"Documentaire";"suisse";"Long-métrage";FALSE;"Couleur";NA;"3,3";"3,3"
"198047";"http://www.allocine.fr/film/fichefilm_gen_cfilm=198047.html";"I Giorni contati (Les Jours comptés)";"2012-04-25";"99";"Drame";"italien";"Long-métrage";FALSE;"N&B";NA;"4,3";"3,1"
"200332";"http://www.allocine.fr/film/fichefilm_gen_cfilm=200332.html";"SüperTürk";"2012-04-25";"98";"Comédie";"turc";"Long-métrage";FALSE;"Couleur";NA;NA;"2,8"
"196515";"http://www.allocine.fr/film/fichefilm_gen_cfilm=196515.html";"Hasta la vista";"2012-03-07";"113";"Comédie dramatique";"belge";"Long-métrage";FALSE;"Couleur";"2 prix et 7 nominations";"3,5";"4,3"
"193511";"http://www.allocine.fr/film/fichefilm_gen_cfilm=193511.html";"Comme un Chef";"2012-03-07";"85";"Comédie";"français";"Long-métrage";FALSE;"Couleur";"1 prix et 5 nominations";"2,0";"2,9"
"192650";"http://www.allocine.fr/film/fichefilm_gen_cfilm=192650.html";"Nos plus belles vacances";"2012-03-07";"94";"Comédie";"français";"Long-métrage";FALSE;"Couleur";"1 prix et 4 nominations";"1,8";"2,5"
"178389";"http://www.allocine.fr/film/fichefilm_gen_cfilm=178389.html";"Possessions";"2012-03-07";"98";"Drame";"français";"Long-métrage";FALSE;"Couleur";"1 nomination";"3,1";"3,0"
"193463";"http://www.allocine.fr/film/fichefilm_gen_cfilm=193463.html";"A l'aveugle";"2012-03-07";"94";"Thriller";"français";"Long-métrage";FALSE;"Couleur";"1 nomination";"2,4";"2,9"
"191021";"http://www.allocine.fr/film/fichefilm_gen_cfilm=191021.html";"Elena";"2012-03-07";"109";"Drame";"russe";"Long-métrage";FALSE;"Couleur";"1 prix et 16 nominations";"3,7";"3,5"
"56622";"http://www.allocine.fr/film/fichefilm_gen_cfilm=56622.html";"Indignados";"2012-03-07";"90";"Documentaire";"français";"Long-métrage";FALSE;"Couleur";"1 nomination";"2,4";"2,3"
"197705";"http://www.allocine.fr/film/fichefilm_gen_cfilm=197705.html";"A l'ombre de la république";"2012-03-07";"100";"Documentaire";"français";"Long-métrage";FALSE;"Couleur";NA;"3,9";"3,4"
"202753";"http://www.allocine.fr/film/fichefilm_gen_cfilm=202753.html";"Au Coeur du combat";"2012-03-07";"93";"Documentaire";"français";"Long-métrage";FALSE;"Couleur";NA;"3,3";"3,2"
"10012";"http://www.allocine.fr/film/fichefilm_gen_cfilm=10012.html";"Amour libre";"2012-03-07";NA;"Comédie dramatique";"finlandais";"Long-métrage";TRUE;"N&B";NA;NA;NA
"3443";"http://www.allocine.fr/film/fichefilm_gen_cfilm=3443.html";"Le Christ interdit";"2012-03-06";"99";"Drame";"italien";"Long-métrage";TRUE;"N&B";"1 nomination";NA;"2,8"
"130149";"http://www.allocine.fr/film/fichefilm_gen_cfilm=130149.html";"Elle n'a dansé qu'un seul été";"2012-03-07";"103";"Drame";"suédois";"Long-métrage";TRUE;"N&B";"2 prix et 8 nominations";NA;"3,1"
"183556";"http://www.allocine.fr/film/fichefilm_gen_cfilm=183556.html";"La Dame en noir";"2012-03-14";"95";"Autres";"britannique";"Long-métrage";FALSE;"Couleur";NA;"3,1";"3,5"
"179102";"http://www.allocine.fr/film/fichefilm_gen_cfilm=179102.html";"Cloclo";"2012-03-14";"148";"Autres";"français";"Long-métrage";FALSE;"Couleur";"4 prix et 11 nominations";"3,6";"4,1"
"188408";"http://www.allocine.fr/film/fichefilm_gen_cfilm=188408.html";"38 témoins";"2012-03-14";"104";"Drame";"français";"Long-métrage";FALSE;"Couleur";"2 prix et 7 nominations";"3,5";"2,5"
"192315";"http://www.allocine.fr/film/fichefilm_gen_cfilm=192315.html";"30° Couleur";"2012-03-14";"92";"Comédie";"français";"Long-métrage";FALSE;"Couleur";NA;"2,8";"2,7"
"192769";"http://www.allocine.fr/film/fichefilm_gen_cfilm=192769.html";"Terraferma";"2012-03-14";"88";"Drame";"français";"Long-métrage";FALSE;"Couleur";"1 prix et 18 nominations";"3,2";"3,6"
"197766";"http://www.allocine.fr/film/fichefilm_gen_cfilm=197766.html";"Entre Les Bras - La cuisine en héritage";"2012-03-14";"90";"Documentaire";"français";"Long-métrage";FALSE;"Couleur";"2 nominations";"3,2";"3,7"
